Course Name,Course Code,Course ID,Academic Term,Class,Class ID,Section,Section ID,Core Code,Core Text,Primary Instructor Formatted Name,Primary Instructor Link BLue Id,Course Section,Assignment Name,Assignment ID
AAS200-002: Intro African-American Studies (Fall 2018),AAS200-002,1929928,Fall 2019,AAS 200,98008201,Section 002,97412868,CCC,"Community, Culture and Citizenship in US",Regina D Hamilton,RHA365,AAS200-002,Take Home Quiz/ Writing Assignment # 1,10147863
AAS200-002: Intro African-American Studies (Fall 2018),AAS200-002,1929928,Fall 2019,AAS 200,98008201,Section 002,97412868,CCC,"Community, Culture and Citizenship in US",Regina D Hamilton,RHA365,AAS200-002,Midterm Exam ,10149925
AAS200-002: Intro African-American Studies (Fall 2018),AAS200-002,1929928,Fall 2019,AAS 200,98008201,Section 002,97412868,CCC,"Community, Culture and Citizenship in US",Regina D Hamilton,RHA365,AAS200-002,Group Project ,10160976
AAS200-002: Intro African-American Studies (Fall 2018),AAS200-002,1929928,Fall 2019,AAS 200,98008201,Section 002,97412868,CCC,"Community, Culture and Citizenship in US",Regina D Hamilton,RHA365,AAS200-002,Final Exam Questions ,10177473
AAS200-002: Intro African-American Studies (Fall 2018),AAS200-002,1929928,Fall 2019,AAS 200,98008201,Section 002,97412868,CCC,"Community, Culture and Citizenship in US",Regina D Hamilton,RHA365,AAS200-002,Class Participation ,10189664
AAS235-001: Inequalities In Society (Fall 2018),AAS235-001,1926172,Fall 2019,AAS 235,98011010,Section 001,97388815,CCC,"Community, Culture and Citizenship in US",Sara N Fisher,SNFI222,AAS235-001,Oct 4 Reading Quiz,10154697
AAS235-001: Inequalities In Society (Fall 2018),AAS235-001,1926172,Fall 2019,AAS 235,98011010,Section 001,97388815,CCC,"Community, Culture and Citizenship in US",Sara N Fisher,SNFI222,AAS235-001,Book Choice for Enhanced Book Review,10154698
AAS235-001: Inequalities In Society (Fall 2018),AAS235-001,1926172,Fall 2019,AAS 235,98011010,Section 001,97388815,CCC,"Community, Culture and Citizenship in US",Sara N Fisher,SNFI222,AAS235-001,Enhanced Book Review Submission,10154699
AAS235-001: Inequalities In Society (Fall 2018),AAS235-001,1926172,Fall 2019,AAS 235,98011010,Section 001,97388815,CCC,"Community, Culture and Citizenship in US",Sara N Fisher,SNFI222,AAS235-001,First Day Interview,10154700
AAS235-001: Inequalities In Society (Fall 2018),AAS235-001,1926172,Fall 2019,AAS 235,98011010,Section 001,97388815,CCC,"Community, Culture and Citizenship in US",Sara N Fisher,SNFI222,AAS235-001,Poverty Statistics Mini Research Paper Submission,10154701
